Name,Description,Release Date,Type,Cover Original,Track Number,Appears On,Top Songs,Spotify,Apple Music,YouTube,Genius,SongBPM
Do I Wanna Know? (triple j Like a Version),,,"Core Track, Cover",Arctic Monkeys,,Do I Wanna Know? (triple j Like a Version),,,,https://www.youtube.com/watch?v=CjwwmFrsX_E
Bitter End,,,Core Track,,13,Screen Violence: Director's Cut
Leave a Trace,,,Core Track,,1,Leave a Trace
Never Ending Circles,,,Core Track,,2,Leave a Trace
Clearest Blue,,,Core Track,,3,Leave a Trace
Leave a Trace (Four Tet remix),,,Bonus Track,,,Leave a Trace
Clearest Blue,,,Core Track,,1,Clearest Blue
Bury It (Keys N Krates remix),,,"Core Track, Remix",,1,Bury It
Call It Off,,,"Core Track, Cover",Tegan & Sara,1,Call It Off
Get Out,,,Core Track,,1,Get Out
Get Out (Fake DJ remix),,,"Bonus Track, Remix",,,Get Out
Get Out (One Bit remix),,,"Bonus Track, Remix",,,Get Out
Get Out (Roosevelt remix),,,"Bonus Track, Remix",,,Get Out
Get Out (Roosevelt extended mix),,,"Bonus Track, Remix",,,Get Out
My Enemy,,,Core Track,,1,My Enemy
Never Say Die,,,Core Track,,1,Never Say Die
Miracle,,,Core Track,,1,Miracle
Miracle (Manila Killa remix),,,"Core Track, Remix",,1,Miracle (The Remixes)
Miracle (IHF remix),,,"Core Track, Remix",,2,Miracle (The Remixes)
Miracle (Mija remix),,,"Core Track, Remix",,3,Miracle (The Remixes)
Miracle (The Juan MacLean remix),,,"Core Track, Remix",,4,Miracle (The Remixes)
Get Out (recorded at Spotify Studios NYC),,,Core Track,,1,Spotify Singles
Stay (recorded at Spotify Studios NYC),,,"Core Track, Cover",Rihanna,2,Spotify Singles
Out of My Head,,,Core Track,,1,Out of My Head
Here With Me,,,Core Track,,1,Here With Me,Top
Forever (Separate but Together),,,Core Track,,1,Forever (Separate but Together)
Forever,,,Core Track,,2,Forever (Separate but Together)
He Said She Said,,,Core Track,,1,He Said She Said
How Not to Drown,,,Core Track,,1,How Not to Drown
He Said She Said,,,Core Track,,2,How Not to Drown
How Not to Drown (Robert Smith remix),,,"Bonus Track, Remix",,,How Not to Drown
Good Girls,,,Core Track,,1,Good Girls
How Not to Drown (Robert Smith remix),,,"Bonus Track, Remix",,,Good Girls
How Not to Drown,,,Bonus Track,,,Good Girls
He Said She Said,,,Bonus Track,,,Good Girls
Good Girls (KC Lights remix),,,"Core Track, Remix",,1,Good Girls (The Remixes)
